model,model_id,case_id,category,variant_id,kind,seed,image_path,image_sha256,all_correct,atom_accuracy,semantic_state,atom_keys,atom_results,predictions,censored,black_image,alternate_correct,exclusive_control,elapsed_seconds,peak_allocated_bytes,audit_id
sdxl,stabilityai/stable-diffusion-xl-base-1.0,main_spatial_000,spatial,p2,equivalent,131,images/sdxl/main_spatial_000/p2/seed_131.png,a30b20cc8234d70684afafdd3c57ceaba5c5fcb0cdd3a83cd02a4007e3d6b50b,0,0.0,000,"[""count:cat=1"", ""count:dog=1"", ""relation:cat:left_of:dog""]","{""count:cat=1"": false, ""count:dog=1"": false, ""relation:cat:left_of:dog"": false}","{""colors"": {}, ""detections"": {""cat"": [{""box"": [106.87999725341797, 206.7100067138672, 365.9800109863281, 457.9599914550781], ""score"": 0.7183945178985596}, {""box"": [291.1600036621094, 207.97000122070312, 368.3299865722656, 439.29998779296875], ""score"": 0.11356016993522644}], ""dog"": []}, ""relations"": {""relation:cat:left_of:dog"": null}}",0,0,,1,1.5006735702045262,8060311040,item_00761
sd15,stable-diffusion-v1-5/stable-diffusion-v1-5,main_color_binding_009,color_binding,p3,equivalent,71,images/sd15/main_color_binding_009/p3/seed_71.png,6cb4243db822ac5a4a296290dc155ba7b0a3f99ca48e41cfdde718b02472a642,0,0.0,0000,"[""count:bicycle=1"", ""count:ball=1"", ""color:bicycle=yellow"", ""color:ball=purple""]","{""color:ball=purple"": false, ""color:bicycle=yellow"": false, ""count:ball=1"": false, ""count:bicycle=1"": false}","{""colors"": {""ball"": {""confidence"": 0.0, ""label"": null, ""margin"": 0.0}, ""bicycle"": {""confidence"": 0.8441280126571655, ""label"": ""purple"", ""margin"": 0.6940432786941528}}, ""detections"": {""ball"": [], ""bicycle"": [{""box"": [24.860000610351562, 5.679999828338623, 510.0400085449219, 497.79998779296875], ""score"": 0.5292109251022339}, {""box"": [181.50999450683594, 1.6100000143051147, 398.1499938964844, 282.4700012207031], ""score"": 0.2830745577812195}, {""box"": [323.2200012207031, 53.93000030517578, 512.5399780273438, 491.45001220703125], ""score"": 0.24521537125110626}]}, ""relations"": {}}",0,0,,1,0.8228622782044113,3439791104,item_00762
sdxl,stabilityai/stable-diffusion-xl-base-1.0,main_existence_013,existence,p3,equivalent,29,images/sdxl/main_existence_013/p3/seed_29.png,8270330db082f4957e691044e570c47cc311eadf31d886db5d6aaaa87606b2ac,1,1.0,11,"[""exists:dog"", ""exists:banana""]","{""exists:banana"": true, ""exists:dog"": true}","{""colors"": {}, ""detections"": {""banana"": [{""box"": [302.4800109863281, 74.30000305175781, 454.8299865722656, 323.82000732421875], ""score"": 0.8137822151184082}], ""dog"": [{""box"": [80.4800033569336, 218.0500030517578, 312.0799865722656, 512.719970703125], ""score"": 0.6926409602165222}]}, ""relations"": {}}",0,0,,0,1.5028756009414792,8061097472,item_00763
sd15,stable-diffusion-v1-5/stable-diffusion-v1-5,main_count_020,count,p1,equivalent,29,images/sd15/main_count_020/p1/seed_29.png,44b5304df3216a7e03b191405de23b1014b393af699263f1c94dc23b5b580bf2,0,0.0,0,"[""count:ball=3""]","{""count:ball=3"": false}","{""colors"": {}, ""detections"": {""ball"": [{""box"": [82.72000122070312, 371.8599853515625, 153.02999877929688, 442.25], ""score"": 0.8124842047691345}, {""box"": [307.92999267578125, 369.010009765625, 378.69000244140625, 443.7099914550781], ""score"": 0.7930977940559387}, {""box"": [308.7099914550781, 245.97000122070312, 399.7900085449219, 343.44000244140625], ""score"": 0.5482533574104309}, {""box"": [474.2300109863281, 369.6499938964844, 512.9500122070312, 451.44000244140625], ""score"": 0.38321834802627563}]}, ""relations"": {}}",0,0,,1,0.8159063314087689,3439791104,item_00764
sd15,stable-diffusion-v1-5/stable-diffusion-v1-5,main_spatial_000,spatial,p1,equivalent,71,images/sd15/main_spatial_000/p1/seed_71.png,2b01f13aa04c331f5545d0c35270746f7b859d2c7aa106b6e7a49cfc1ccf0d21,0,0.0,000,"[""count:cat=1"", ""count:dog=1"", ""relation:cat:left_of:dog""]","{""count:cat=1"": false, ""count:dog=1"": false, ""relation:cat:left_of:dog"": false}","{""colors"": {}, ""detections"": {""cat"": [{""box"": [0.30000001192092896, 126.98999786376953, 204.9600067138672, 501.3699951171875], ""score"": 0.7294281125068665}, {""box"": [283.04998779296875, 182.44000244140625, 510.82000732421875, 475.1499938964844], ""score"": 0.7229016423225403}], ""dog"": []}, ""relations"": {""relation:cat:left_of:dog"": null}}",0,0,,1,0.8211659584194422,3439791104,item_00765
pixart_sigma,PixArt-alpha/PixArt-Sigma-XL-2-512-MS,main_spatial_011,spatial,p0,equivalent,211,images/pixart_sigma/main_spatial_011/p0/seed_211.png,fc2e7de54477f078e45f71c4de98c0d29dade3ed555d7ea9c24e757a741e8629,1,1.0,111,"[""count:clock=1"", ""count:cat=1"", ""relation:clock:above:cat""]","{""count:cat=1"": true, ""count:clock=1"": true, ""relation:clock:above:cat"": true}","{""colors"": {}, ""detections"": {""cat"": [{""box"": [205.89999389648438, 166.86000061035156, 439.6000061035156, 453.19000244140625], ""score"": 0.7903501391410828}], ""clock"": [{""box"": [79.55999755859375, 7.53000020980835, 370.8699951171875, 310.2799987792969], ""score"": 0.7670006155967712}]}, ""relations"": {""relation:clock:above:cat"": {""dx"": -0.19049805402755737, ""dy"": -0.29515625396743417}}}",0,0,0.0,1,0.8685160190798342,13622855168,item_00766
sdxl,stabilityai/stable-diffusion-xl-base-1.0,main_count_022,count,p1,equivalent,47,images/sdxl/main_count_022/p1/seed_47.png,e2b95a8d05796134dd5c30e0961eeb38ebdd0ec829ec776df61854a5e4c0fbb3,0,0.0,0,"[""count:clock=4""]","{""count:clock=4"": false}","{""colors"": {}, ""detections"": {""clock"": [{""box"": [270.8399963378906, 164.52000427246094, 388.0, 288.32000732421875], ""score"": 0.6206048130989075}, {""box"": [147.8699951171875, 309.5899963378906, 247.0, 411.7200012207031], ""score"": 0.6131973266601562}, {""box"": [279.8900146484375, 307.8500061035156, 380.45001220703125, 410.54998779296875], ""score"": 0.597684383392334}, {""box"": [140.07000732421875, 170.10000610351562, 254.2899932861328, 283.260009765625], ""score"": 0.5927892327308655}, {""box"": [19.3700008392334, 11.600000381469727, 508.9100036621094, 497.92999267578125], ""score"": 0.28514164686203003}, {""box"": [136.6199951171875, 162.16000366210938, 393.17999267578125, 417.25], ""score"": 0.19380556046962738}]}, ""relations"": {}}",0,0,,1,1.4987183981575072,8059786752,item_00767
sdxl,stabilityai/stable-diffusion-xl-base-1.0,main_count_016,count,p2,equivalent,131,images/sdxl/main_count_016/p2/seed_131.png,3d863541573baf2d03bdb553f24b254885c4efe0b2ab23cc9fc8359bfdad70e6,1,1.0,1,"[""count:car=4""]","{""count:car=4"": true}","{""colors"": {}, ""detections"": {""car"": [{""box"": [283.6400146484375, 312.0, 484.55999755859375, 392.95001220703125], ""score"": 0.36635780334472656}, {""box"": [47.54999923706055, 312.3500061035156, 227.2899932861328, 389.5], ""score"": 0.3636709749698639}, {""box"": [12.069999694824219, 85.86000061035156, 206.92999267578125, 178.14999389648438], ""score"": 0.31793344020843506}, {""box"": [264.3399963378906, 90.58000183105469, 465.510009765625, 173.91000366210938], ""score"": 0.3044203817844391}]}, ""relations"": {}}",0,0,,1,1.5142908957786858,8060573184,item_00768
sdxl,stabilityai/stable-diffusion-xl-base-1.0,main_color_binding_003,color_binding,p1,equivalent,173,images/sdxl/main_color_binding_003/p1/seed_173.png,3a716e486e1f95fa3075895ae3ebdbbd50659500189160a538e5c684dd1f9554,0,0.25,0010,"[""count:banana=1"", ""count:bottle=1"", ""color:banana=yellow"", ""color:bottle=purple""]","{""color:banana=yellow"": true, ""color:bottle=purple"": false, ""count:banana=1"": false, ""count:bottle=1"": false}","{""colors"": {""banana"": {""confidence"": 0.5735280513763428, ""label"": ""yellow"", ""margin"": 0.4310648441314697}, ""bottle"": {""confidence"": 0.0, ""label"": null, ""margin"": 0.0}}, ""detections"": {""banana"": [{""box"": [400.2799987792969, 269.3500061035156, 446.04998779296875, 384.989990234375], ""score"": 0.5163967609405518}, {""box"": [63.790000915527344, 19.530000686645508, 107.5, 133.7100067138672], ""score"": 0.5115351676940918}, {""box"": [171.8000030517578, 142.75, 215.3699951171875, 256.1400146484375], ""score"": 0.504504919052124}, {""box"": [172.55999755859375, 275.54998779296875, 216.7899932861328, 386.0299987792969], ""score"": 0.5016260147094727}, {""box"": [402.6099853515625, 18.729999542236328, 447.1700134277344, 135.5], ""score"": 0.5010101199150085}, {""box"": [447.4700012207031, 262.1300048828125, 490.55999755859375, 377.989990234375], ""score"": 0.49847355484962463}, {""box"": [398.95001220703125, 140.61000061035156, 447.0799865722656, 260.0299987792969], ""score"": 0.493481308221817}, {""box"": [64.63999938964844, 266.07000732421875, 115.55000305175781, 387.70001220703125], ""score"": 0.4922039210796356}, {""box"": [446.32000732421875, 133.1199951171875, 490.05999755859375, 243.8800048828125], ""score"": 0.4919113218784332}, {""box"": [347.42999267578125, 119.83000183105469, 379.1199951171875, 242.1999969482422], ""score"": 0.4869384765625}, {""box"": [349.760009765625, 2.5899999141693115, 380.54998779296875, 114.06999969482422], ""score"": 0.4753541052341461}, {""box"": [172.9600067138672, 22.920000076293945, 215.9499969482422, 136.3699951171875], ""score"": 0.4752436876296997}, {""box"": [293.1700134277344, 135.85000610351562, 336.4200134277344, 254.50999450683594], ""score"": 0.4709092974662781}, {""box"": [64.79000091552734, 140.3800048828125, 114.80999755859375, 255.1699981689453], ""score"": 0.4698222279548645}, {""box"": [346.9700012207031, 246.9199981689453, 378.4200134277344, 375.1099853515625], ""score"": 0.4673672318458557}, {""box"": [292.8399963378906, 268.5299987792969, 336.0899963378906, 385.92999267578125], ""score"": 0.4591119885444641}, {""box"": [298.29998779296875, 14.960000038146973, 340.6499938964844, 129.6699981689453], ""score"": 0.457367867231369}, {""box"": [216.25, 134.75, 262.44000244140625, 253.0399932861328], ""score"": 0.4569855034351349}, {""box"": [119.56999969482422, 127.11000061035156, 150.4600067138672, 241.22000122070312], ""score"": 0.4509146213531494}, {""box"": [23.399999618530273, 383.75, 52.4900016784668, 469.1099853515625], ""score"": 0.4482274055480957}, {""box"": [403.75, 405.2699890136719, 448.3299865722656, 511.3500061035156], ""score"": 0.44228091835975647}, {""box"": [120.88999938964844, 6.159999847412109, 149.97999572753906, 111.72000122070312], ""score"": 0.43394678831100464}, {""box"": [171.1699981689453, 402.54998779296875, 215.94000244140625, 509.8599853515625], ""score"": 0.4334588050842285}, {""box"": [214.17999267578125, 264.8500061035156, 264.67999267578125, 387.010009765625], ""score"": 0.42737269401550293}, {""box"": [258.9700012207031, 256.4700012207031, 279.4200134277344, 297.05999755859375], ""score"": 0.417309045791626}, {""box"": [214.4600067138672, 392.6099853515625, 261.8399963378906, 508.1099853515625], ""score"": 0.416526198387146}, {""box"": [28.030000686645508, 0.09000000357627869, 55.630001068115234, 71.58999633789062], ""score"": 0.4128178358078003}, {""box"": [16.469999313354492, 101.4800033569336, 51.939998626708984, 232.30999755859375], ""score"": 0.4076552391052246}, {""box"": [64.5199966430664, 402.6400146484375, 106.94000244140625, 511.42999267578125], ""score"": 0.40754714608192444}, {""box"": [17.290000915527344, 272.9200134277344, 53.58000183105469, 377.6099853515625], ""score"": 0.40498703718185425}, {""box"": [458.9100036621094, 396.07000732421875, 488.6099853515625, 471.1400146484375], ""score"": 0.4019990861415863}, {""box"": [119.58999633789062, 247.02999877929688, 150.9600067138672, 374.2200012207031], ""score"": 0.3979867994785309}, {""box"": [259.7699890136719, 393.6700134277344, 278.7699890136719, 433.1499938964844], ""score"": 0.3975566029548645}, {""box"": [459.1499938964844, 0.07000000029802322, 487.94000244140625, 66.04000091552734], ""score"": 0.3927554190158844}, {""box"": [298.8800048828125, 400.6099853515625, 343.0299987792969, 510.9800109863281], ""score"": 0.39156198501586914}, {""box"": [258.0299987792969, 6.260000228881836, 278.6000061035156, 49.63999938964844], ""score"": 0.3901067078113556}, {""box"": [1.7200000286102295, 3.690000057220459, 508.6000061035156, 509.55999755859375], ""score"": 0.38516029715538025}, {""box"": [22.920000076293945, 226.24000549316406, 51.029998779296875, 291.6700134277344], ""score"": 0.3846428692340851}, {""box"": [122.55999755859375, 380.8500061035156, 150.7899932861328, 476.0400085449219], ""score"": 0.38117024302482605}, {""box"": [381.6600036621094, 376.67999267578125, 415.4200134277344, 427.5], ""score"": 0.3720860481262207}, {""box"": [225.5500030517578, 8.220000267028809, 257.17999267578125, 61.349998474121094], ""score"": 0.36496174335479736}, {""box"": [350.9200134277344, 381.92999267578125, 378.010009765625, 479.5], ""score"": 0.36279812455177307}, {""box"": [234.36000061035156, 63.75, 268.70001220703125, 128.6999969482422], ""score"": 0.36081045866012573}, {""box"": [460.67999267578125, 76.41999816894531, 489.6199951171875, 127.77999877929688], ""score"": 0.3558070957660675}, {""box"": [19.110000610351562, 82.36000061035156, 51.90999984741211, 153.35000610351562], ""score"": 0.3522741198539734}, {""box"": [47.31999969482422, 244.44000244140625, 76.55000305175781, 298.95001220703125], ""score"": 0.34259048104286194}, {""box"": [153.6699981689453, -0.009999999776482582, 194.13999938964844, 42.22999954223633], ""score"": 0.33564555644989014}, {""box"": [447.20001220703125, 92.18000030517578, 460.1099853515625, 122.26000213623047], ""score"": 0.3345821499824524}, {""box"": [381.6600036621094, 246.36000061035156, 417.1000061035156, 299.94000244140625], ""score"": 0.3336296081542969}, {""box"": [349.010009765625, 109.0999984741211, 376.1099853515625, 150.6699981689453], ""score"": 0.329717755317688}, {""box"": [48.43000030517578, 380.1400146484375, 75.77999877929688, 424.30999755859375], ""score"": 0.32376936078071594}, {""box"": [381.2900085449219, 117.02999877929688, 438.4200134277344, 166.67999267578125], ""score"": 0.3154395520687103}, {""box"": [48.619998931884766, 117.94000244140625, 76.76000213623047, 165.22000122070312], ""score"": 0.31383493542671204}, {""box"": [498.7200012207031, 301.1600036621094, 512.0700073242188, 378.80999755859375], ""score"": 0.2943303883075714}, {""box"": [153.49000549316406, 378.19000244140625, 183.27999877929688, 430.4700012207031], ""score"": 0.292605996131897}, {""box"": [494.2900085449219, 65.58999633789062, 511.6400146484375, 140.86000061035156], ""score"": 0.2886328399181366}, {""box"": [152.7100067138672, 245.33999633789062, 186.22999572753906, 299.25], ""score"": 0.2816265821456909}, {""box"": [121.88999938964844, 105.66000366210938, 148.57000732421875, 154.25], ""score"": 0.27749529480934143}, {""box"": [384.010009765625, -0.1599999964237213, 417.0799865722656, 40.560001373291016], ""score"": 0.27545469999313354}, {""box"": [496.3399963378906, 385.1300048828125, 511.2799987792969, 496.19000244140625], ""score"": 0.2690465450286865}, {""box"": [153.14999389648438, 118.70999908447266, 184.57000732421875, 163.91000366210938], ""score"": 0.26728057861328125}, {""box"": [350.260009765625, 243.77000427246094, 376.760009765625, 281.25], ""score"": 0.2600697875022888}, {""box"": [497.6000061035156, 134.17999267578125, 512.1400146484375, 194.00999450683594], ""score"": 0.25823453068733215}, {""box"": [431.9200134277344, 194.17999267578125, 456.9100036621094, 244.8000030517578], ""score"": 0.2506349980831146}, {""box"": [461.6099853515625, 471.6499938964844, 488.92999267578125, 513.3499755859375], ""score"": 0.24603605270385742}, {""box"": [498.1300048828125, 178.5800018310547, 512.0599975585938, 252.4600067138672], ""score"": 0.2407265305519104}, {""box"": [353.07000732421875, 480.69000244140625, 376.2900085449219, 512.02001953125], ""score"": 0.23057402670383453}, {""box"": [122.87999725341797, 479.2799987792969, 147.92999267578125, 512.02001953125], ""score"": 0.22737465798854828}, {""box"": [28.479999542236328, 475.3299865722656, 52.290000915527344, 512.9299926757812], ""score"": 0.22558501362800598}, {""box"": [0.15000000596046448, 8.59000015258789, 13.5, 127.94999694824219], ""score"": 0.22379150986671448}, {""box"": [430.4100036621094, 295.30999755859375, 449.07000732421875, 377.7200012207031], ""score"": 0.21780900657176971}, {""box"": [121.79000091552734, 244.97999572753906, 148.0, 288.75], ""score"": 0.2038046270608902}, {""box"": [0.3199999928474426, 302.55999755859375, 26.530000686645508, 378.79998779296875], ""score"": 0.19758853316307068}, {""box"": [122.58999633789062, -0.05999999865889549, 148.4600067138672, 35.61000061035156], ""score"": 0.19169780611991882}, {""box"": [355.69000244140625, 0.7799999713897705, 380.6099853515625, 37.279998779296875], ""score"": 0.18764628469944}, {""box"": [452.4599914550781, 236.11000061035156, 479.0799865722656, 258.8399963378906], ""score"": 0.17779558897018433}, {""box"": [179.61000061035156, 0.41999998688697815, 205.3800048828125, 39.029998779296875], ""score"": 0.16438895463943481}, {""box"": [500.1300048828125, 240.5399932861328, 510.8599853515625, 321.30999755859375], ""score"": 0.15895353257656097}, {""box"": [0.3700000047683716, 165.1300048828125, 25.700000762939453, 245.3699951171875], ""score"": 0.1562248021364212}, {""box"": [0.15000000596046448, 407.2900085449219, 13.479999542236328, 509.5299987792969], ""score"": 0.1549924910068512}, {""box"": [0.1899999976158142, 386.0, 14.510000228881836, 437.9800109863281], ""score"": 0.1538987010717392}, {""box"": [202.69000244140625, 346.3399963378906, 217.3800048828125, 380.95001220703125], ""score"": 0.14758455753326416}, {""box"": [153.3000030517578, 7.559999942779541, 193.39999389648438, 162.7899932861328], ""score"": 0.1457088440656662}, {""box"": [432.82000732421875, 28.450000762939453, 455.0400085449219, 127.20999908447266], ""score"": 0.14435353875160217}, {""box"": [382.7799987792969, 149.25, 445.260009765625, 382.04998779296875], ""score"": 0.14411289989948273}, {""box"": [293.7200012207031, 351.6499938964844, 324.3399963378906, 397.3399963378906], ""score"": 0.14323101937770844}, {""box"": [403.8299865722656, 257.1600036621094, 436.92999267578125, 295.6700134277344], ""score"": 0.1417544037103653}, {""box"": [65.29000091552734, -0.17000000178813934, 98.47000122070312, 45.33000183105469], ""score"": 0.1405792385339737}, {""box"": [301.67999267578125, 0.3199999928474426, 337.45001220703125, 39.79999923706055], ""score"": 0.13732390105724335}, {""box"": [198.8300018310547, 149.85000610351562, 221.57000732421875, 247.9199981689453], ""score"": 0.13320204615592957}, {""box"": [213.25, 455.1000061035156, 238.91000366210938, 510.3599853515625], ""score"": 0.12428732216358185}, {""box"": [180.0, 256.4599914550781, 207.19000244140625, 291.8500061035156], ""score"": 0.12380938977003098}, {""box"": [248.67999267578125, 139.82000732421875, 264.1400146484375, 243.3699951171875], ""score"": 0.12335328757762909}, {""box"": [192.88999938964844, 467.80999755859375, 217.5500030517578, 511.94000244140625], ""score"": 0.12183886766433716}, {""box"": [427.6600036621094, 371.6199951171875, 461.1400146484375, 413.9800109863281], ""score"": 0.12097364664077759}, {""box"": [352.489990234375, 376.8999938964844, 376.5799865722656, 405.95001220703125], ""score"": 0.1203494518995285}, {""box"": [343.3699951171875, 2.2100000381469727, 381.739990234375, 506.07000732421875], ""score"": 0.12023533880710602}, {""box"": [124.91999816894531, 378.25, 148.0, 404.79998779296875], ""score"": 0.12000889331102371}, {""box"": [505.5400085449219, -1.2100000381469727, 518.27001953125, 51.209999084472656], ""score"": 0.11892779171466827}, {""box"": [212.97999572753906, 406.0299987792969, 240.10000610351562, 449.5199890136719], ""score"": 0.1187940165400505}, {""box"": [401.7900085449219, 26.520000457763672, 420.7200012207031, 126.18000030517578], ""score"": 0.11603184044361115}, {""box"": [303.510009765625, 124.98999786376953, 326.6600036621094, 156.85000610351562], ""score"": 0.11380311846733093}, {""box"": [203.5399932861328, 420.1499938964844, 216.63999938964844, 498.6300048828125], ""score"": 0.11352849751710892}, {""box"": [410.5, 3.0399999618530273, 437.5400085449219, 35.540000915527344], ""score"": 0.11124955117702484}, {""box"": [494.5299987792969, 237.36000061035156, 511.1700134277344, 251.30999755859375], ""score"": 0.11020573228597641}, {""box"": [231.36000061035156, 256.05999755859375, 274.739990234375, 318.0799865722656], ""score"": 0.11002187430858612}, {""box"": [406.1700134277344, 388.3399963378906, 435.1300048828125, 427.760009765625], ""score"": 0.10829935222864151}, {""box"": [0.10000000149011612, 2.559999942779541, 14.640000343322754, 43.4900016784668], ""score"": 0.10681284219026566}, {""box"": [47.529998779296875, 23.559999465942383, 79.97000122070312, 164.85000610351562], ""score"": 0.10527793318033218}, {""box"": [65.36000061035156, 0.14000000059604645, 95.80999755859375, 11.630000114440918], ""score"": 0.10448002070188522}, {""box"": [205.66000366210938, -0.10999999940395355, 277.5299987792969, 123.81999969482422], ""score"": 0.10203883051872253}, {""box"": [205.24000549316406, 0.18000000715255737, 248.77999877929688, 45.029998779296875], ""score"": 0.10075308382511139}, {""box"": [0.019999999552965164, 233.47000122070312, 21.079999923706055, 273.82000732421875], ""score"": 0.10041039437055588}], ""bottle"": []}, ""relations"": {}}",0,0,,1,1.51263992395252,8061359616,item_00769
sd15,stable-diffusion-v1-5/stable-diffusion-v1-5,main_spatial_000,spatial,p2,equivalent,71,images/sd15/main_spatial_000/p2/seed_71.png,b21657aca6c0b03453e31e898763201ad37dd20ec50f88a6aade06105d4b1999,0,0.0,000,"[""count:cat=1"", ""count:dog=1"", ""relation:cat:left_of:dog""]","{""count:cat=1"": false, ""count:dog=1"": false, ""relation:cat:left_of:dog"": false}","{""colors"": {}, ""detections"": {""cat"": [{""box"": [283.67999267578125, 181.27000427246094, 510.8399963378906, 475.67999267578125], ""score"": 0.7456015348434448}, {""box"": [0.009999999776482582, 127.68000030517578, 205.3800048828125, 502.5199890136719], ""score"": 0.6987283229827881}], ""dog"": []}, ""relations"": {""relation:cat:left_of:dog"": null}}",0,0,,1,0.8177715153433383,3439791104,item_00770
sd15,stable-diffusion-v1-5/stable-diffusion-v1-5,main_color_binding_013,color_binding,p0,equivalent,211,images/sd15/main_color_binding_013/p0/seed_211.png,bfdaf77a967450492d2dd96d66ec4517ce834c94a31f60dfef6cad5af9f768d6,0,0.25,0010,"[""count:dog=1"", ""count:banana=1"", ""color:dog=blue"", ""color:banana=yellow""]","{""color:banana=yellow"": false, ""color:dog=blue"": true, ""count:banana=1"": false, ""count:dog=1"": false}","{""colors"": {""banana"": {""confidence"": 0.0, ""label"": null, ""margin"": 0.0}, ""dog"": {""confidence"": 0.9920626282691956, ""label"": ""blue"", ""margin"": 0.9865583181381226}}, ""detections"": {""banana"": [], ""dog"": [{""box"": [302.6199951171875, 62.45000076293945, 510.739990234375, 408.6400146484375], ""score"": 0.6167048215866089}, {""box"": [0.10999999940395355, 205.72000122070312, 285.3999938964844, 477.8800048828125], ""score"": 0.5146048665046692}]}, ""relations"": {}}",0,0,0.0,1,0.8361087013036013,3439791104,item_00771
sd15,stable-diffusion-v1-5/stable-diffusion-v1-5,main_existence_013,existence,p2,equivalent,47,images/sd15/main_existence_013/p2/seed_47.png,470710605b031668ebef5a4e527aaa2ffc54570b2e143fdf7b0ad2bf375337eb,1,1.0,11,"[""exists:dog"", ""exists:banana""]","{""exists:banana"": true, ""exists:dog"": true}","{""colors"": {}, ""detections"": {""banana"": [{""box"": [1.0, 165.4199981689453, 182.4199981689453, 269.07000732421875], ""score"": 0.5335180163383484}, {""box"": [0.8100000023841858, 107.66000366210938, 215.3000030517578, 210.0800018310547], ""score"": 0.4363362789154053}, {""box"": [0.3400000035762787, 82.3499984741211, 231.6999969482422, 152.97999572753906], ""score"": 0.4120199680328369}], ""dog"": [{""box"": [160.6699981689453, 43.630001068115234, 482.92999267578125, 487.3299865722656], ""score"": 0.7549598217010498}]}, ""relations"": {}}",0,0,,0,0.8490649689920247,3439791104,item_00772
sdxl,stabilityai/stable-diffusion-xl-base-1.0,main_existence_011,existence,p2,equivalent,211,images/sdxl/main_existence_011/p2/seed_211.png,76f61cac8b250174b383bf828c111166f7ed2dad8e38318f466a889bf3d5e45e,1,1.0,11,"[""exists:clock"", ""exists:cat""]","{""exists:cat"": true, ""exists:clock"": true}","{""colors"": {}, ""detections"": {""cat"": [{""box"": [249.35000610351562, 141.60000610351562, 409.0, 419.45001220703125], ""score"": 0.5175003409385681}], ""clock"": [{""box"": [21.270000457763672, 16.110000610351562, 498.4800109863281, 500.3299865722656], ""score"": 0.7995936870574951}]}, ""relations"": {}}",0,0,,0,1.545122304931283,8060835328,item_00773
sdxl,stabilityai/stable-diffusion-xl-base-1.0,main_color_binding_013,color_binding,p3,equivalent,211,images/sdxl/main_color_binding_013/p3/seed_211.png,70925261ad0f0a43d28e19c9cfa842b1a2472f46e0521bb9aa68084e04ad2334,0,0.0,0000,"[""count:dog=1"", ""count:banana=1"", ""color:dog=blue"", ""color:banana=yellow""]","{""color:banana=yellow"": false, ""color:dog=blue"": false, ""count:banana=1"": false, ""count:dog=1"": false}","{""colors"": {""banana"": {""confidence"": 0.8674336075782776, ""label"": ""blue"", ""margin"": 0.7977274060249329}, ""dog"": {""confidence"": 0.0, ""label"": null, ""margin"": 0.0}}, ""detections"": {""banana"": [{""box"": [91.54000091552734, 201.02999877929688, 316.25, 491.739990234375], ""score"": 0.7687408924102783}, {""box"": [332.8399963378906, 35.52000045776367, 461.0899963378906, 418.2200012207031], ""score"": 0.6836792230606079}], ""dog"": []}, ""relations"": {}}",0,0,,1,1.5035633519291878,8060573184,item_00774
pixart_sigma,PixArt-alpha/PixArt-Sigma-XL-2-512-MS,main_color_binding_013,color_binding,p0,equivalent,47,images/pixart_sigma/main_color_binding_013/p0/seed_47.png,29a541e69e6368bf39639e1727455e71958bca92f0ea80c3f120f950dfc0ebcc,0,0.25,0100,"[""count:dog=1"", ""count:banana=1"", ""color:dog=blue"", ""color:banana=yellow""]","{""color:banana=yellow"": false, ""color:dog=blue"": false, ""count:banana=1"": true, ""count:dog=1"": false}","{""colors"": {""banana"": {""confidence"": 0.37353894114494324, ""label"": ""black"", ""margin"": 0.1047259271144867}, ""dog"": {""confidence"": 0.6841799020767212, ""label"": ""yellow"", ""margin"": 0.6121726036071777}}, ""detections"": {""banana"": [{""box"": [15.90999984741211, 247.3000030517578, 390.1300048828125, 439.0199890136719], ""score"": 0.8764488101005554}], ""dog"": [{""box"": [258.4800109863281, 169.32000732421875, 481.1300048828125, 434.5400085449219], ""score"": 0.6436623334884644}, {""box"": [45.709999084472656, 158.27999877929688, 330.05999755859375, 436.5799865722656], ""score"": 0.6141384243965149}]}, ""relations"": {}}",0,0,0.0,1,0.9203421720303596,13622855168,item_00775
pixart_sigma,PixArt-alpha/PixArt-Sigma-XL-2-512-MS,main_count_016,count,p2,equivalent,211,images/pixart_sigma/main_count_016/p2/seed_211.png,965e65ac8e349866348a2daabfa420c833cb10b2d89ad8ef17fa310db01a01fc,0,0.0,0,"[""count:car=4""]","{""count:car=4"": false}","{""colors"": {}, ""detections"": {""car"": [{""box"": [445.8500061035156, 222.4499969482422, 511.1099853515625, 331.2799987792969], ""score"": 0.28148511052131653}, {""box"": [0.47999998927116394, 216.4499969482422, 53.029998779296875, 329.9800109863281], ""score"": 0.26782798767089844}, {""box"": [8.8100004196167, 213.7100067138672, 197.55999755859375, 334.75], ""score"": 0.2620050013065338}, {""box"": [313.2200012207031, 215.4600067138672, 505.4800109863281, 337.92999267578125], ""score"": 0.2582037150859833}, {""box"": [170.49000549316406, 215.39999389648438, 339.5, 330.4200134277344], ""score"": 0.18990230560302734}]}, ""relations"": {}}",0,0,,1,0.8741904417984188,13622855168,item_00776
